Skipped videos:  0
1780
Skipped videos:  0
258
  [Batch 170/594] Loss: 4.6132 | Cls: 4.6117 | Loc: 4.6146
  [Batch 180/594] Loss: 4.6346 | Cls: 4.6331 | Loc: 4.6361
  [Batch 190/594] Loss: 4.6046 | Cls: 4.6033 | Loc: 4.6059
  [Batch 200/594] Loss: 4.6287 | Cls: 4.6275 | Loc: 4.6298
  [Batch 210/594] Loss: 4.5794 | Cls: 4.5774 | Loc: 4.5813
  [Batch 220/594] Loss: 4.6571 | Cls: 4.6541 | Loc: 4.6601
  [Batch 230/594] Loss: 4.4984 | Cls: 4.4970 | Loc: 4.4998
  [Batch 240/594] Loss: 4.6483 | Cls: 4.6457 | Loc: 4.6508
  [Batch 250/594] Loss: 4.5801 | Cls: 4.5785 | Loc: 4.5818
  [Batch 260/594] Loss: 4.5913 | Cls: 4.5898 | Loc: 4.5929
  [Batch 270/594] Loss: 4.6067 | Cls: 4.6012 | Loc: 4.6122
  [Batch 280/594] Loss: 4.6676 | Cls: 4.6624 | Loc: 4.6729
  [Batch 290/594] Loss: 4.7110 | Cls: 4.7065 | Loc: 4.7155
  [Batch 300/594] Loss: 4.6542 | Cls: 4.6517 | Loc: 4.6566
  [Batch 310/594] Loss: 4.5007 | Cls: 4.4993 | Loc: 4.5021
  [Batch 320/594] Loss: 4.5098 | Cls: 4.5077 | Loc: 4.5119
  [Batch 330/594] Loss: 4.5714 | Cls: 4.5699 | Loc: 4.5729
  [Batch 340/594] Loss: 4.5855 | Cls: 4.5839 | Loc: 4.5872
  [Batch 350/594] Loss: 4.7042 | Cls: 4.7005 | Loc: 4.7079
  [Batch 360/594] Loss: 4.6813 | Cls: 4.6782 | Loc: 4.6845
  [Batch 370/594] Loss: 4.5911 | Cls: 4.5882 | Loc: 4.5940
  [Batch 380/594] Loss: 4.6346 | Cls: 4.6331 | Loc: 4.6362
  [Batch 390/594] Loss: 4.4560 | Cls: 4.4524 | Loc: 4.4595
  [Batch 400/594] Loss: 4.6249 | Cls: 4.6216 | Loc: 4.6282
  [Batch 410/594] Loss: 4.6692 | Cls: 4.6639 | Loc: 4.6745
  [Batch 420/594] Loss: 4.5923 | Cls: 4.5870 | Loc: 4.5977
  [Batch 430/594] Loss: 4.6489 | Cls: 4.6465 | Loc: 4.6514
  [Batch 440/594] Loss: 4.6247 | Cls: 4.6220 | Loc: 4.6274
  [Batch 450/594] Loss: 4.5799 | Cls: 4.5780 | Loc: 4.5817
  [Batch 460/594] Loss: 4.4460 | Cls: 4.4439 | Loc: 4.4481
  [Batch 470/594] Loss: 4.7789 | Cls: 4.7752 | Loc: 4.7827
  [Batch 480/594] Loss: 4.4960 | Cls: 4.4922 | Loc: 4.4998
  [Batch 490/594] Loss: 5.0267 | Cls: 5.0153 | Loc: 5.0380
  [Batch 500/594] Loss: 4.5726 | Cls: 4.5591 | Loc: 4.5860
  [Batch 510/594] Loss: 4.6307 | Cls: 4.6241 | Loc: 4.6373
  [Batch 520/594] Loss: 4.8799 | Cls: 4.8766 | Loc: 4.8832
  [Batch 530/594] Loss: 4.8873 | Cls: 4.8816 | Loc: 4.8931
  [Batch 540/594] Loss: 4.7693 | Cls: 4.7484 | Loc: 4.7903
  [Batch 550/594] Loss: 4.7737 | Cls: 4.7664 | Loc: 4.7810
  [Batch 560/594] Loss: 4.5078 | Cls: 4.5040 | Loc: 4.5117
  [Batch 570/594] Loss: 4.6816 | Cls: 4.6741 | Loc: 4.6890
  [Batch 580/594] Loss: 4.7165 | Cls: 4.7145 | Loc: 4.7185
  [Batch 590/594] Loss: 4.5145 | Cls: 4.5099 | Loc: 4.5191
  [Batch 594/594] Loss: 4.5845 | Cls: 4.5770 | Loc: 4.5920
Epoch 4 Train - Loc Loss: 4.6178 | Cls Loss: 4.6106 | Tot Loss: 4.6142 | Acc: 2.02% | F1: 0.0015
  [Batch 10/86] Loss: 42.6947 | Cls: 42.6905 | Loc: 42.6989
  [Batch 20/86] Loss: 52.7457 | Cls: 52.7347 | Loc: 52.7567
  [Batch 30/86] Loss: 32.9065 | Cls: 32.8749 | Loc: 32.9381
  [Batch 40/86] Loss: 45.5232 | Cls: 45.4827 | Loc: 45.5638
  [Batch 50/86] Loss: 15.0997 | Cls: 14.9954 | Loc: 15.2040
  [Batch 60/86] Loss: 28.3855 | Cls: 28.3769 | Loc: 28.3942
  [Batch 70/86] Loss: 44.5298 | Cls: 44.5157 | Loc: 44.5438
  [Batch 80/86] Loss: 33.1129 | Cls: 33.0629 | Loc: 33.1629
  [Batch 86/86] Loss: 12.7681 | Cls: 12.6341 | Loc: 12.9021
Epoch 4 Val - Loc Loss: 31.8107 | Cls Loss: 31.7231 | Tot Loss: 31.7669 | Acc: 1.16% | F1: 0.0003
--------------------------------------------------------------------------------
  [Batch 10/594] Loss: 4.7315 | Cls: 4.7227 | Loc: 4.7403
  [Batch 20/594] Loss: 4.6537 | Cls: 4.6434 | Loc: 4.6639
  [Batch 30/594] Loss: 4.7112 | Cls: 4.7063 | Loc: 4.7162
  [Batch 40/594] Loss: 4.6538 | Cls: 4.6455 | Loc: 4.6621
