Skipped videos:  0
1780
Skipped videos:  0
258
  [Batch 420/594] Loss: 4.2839 | Cls: 4.2657 | Loc: 4.3020
  [Batch 430/594] Loss: 4.0268 | Cls: 4.0080 | Loc: 4.0455
  [Batch 440/594] Loss: 4.2993 | Cls: 4.2819 | Loc: 4.3167
  [Batch 450/594] Loss: 4.2816 | Cls: 4.2658 | Loc: 4.2974
  [Batch 460/594] Loss: 3.9404 | Cls: 3.9250 | Loc: 3.9558
  [Batch 470/594] Loss: 4.4348 | Cls: 4.4149 | Loc: 4.4548
  [Batch 480/594] Loss: 4.0659 | Cls: 4.0454 | Loc: 4.0865
  [Batch 490/594] Loss: 4.3125 | Cls: 4.2959 | Loc: 4.3292
  [Batch 500/594] Loss: 4.2896 | Cls: 4.2736 | Loc: 4.3057
  [Batch 510/594] Loss: 4.0766 | Cls: 4.0596 | Loc: 4.0937
  [Batch 520/594] Loss: 4.2408 | Cls: 4.2215 | Loc: 4.2600
  [Batch 530/594] Loss: 3.9872 | Cls: 3.9577 | Loc: 4.0166
  [Batch 540/594] Loss: 4.1339 | Cls: 4.1191 | Loc: 4.1487
  [Batch 550/594] Loss: 4.3874 | Cls: 4.3670 | Loc: 4.4077
  [Batch 560/594] Loss: 4.2659 | Cls: 4.2460 | Loc: 4.2858
  [Batch 570/594] Loss: 4.3094 | Cls: 4.2905 | Loc: 4.3283
  [Batch 580/594] Loss: 3.6976 | Cls: 3.6763 | Loc: 3.7189
  [Batch 590/594] Loss: 3.6042 | Cls: 3.5491 | Loc: 3.6594
Epoch 4 Train - Loc Loss: 4.1261 | Cls Loss: 4.0882 | Tot Loss: 4.1071 | Acc: 20.96% | F1: 0.1678
Epoch 4 Val - Loc Loss: 3.9904 | Cls Loss: 3.9542 | Tot Loss: 3.9723 | Acc: 15.89% | F1: 0.1095

Best model saved at epoch 4 with Acc: 15.89%, F1: 0.1095

  [Batch 10/594] Loss: 4.3779 | Cls: 4.3590 | Loc: 4.3968
  [Batch 20/594] Loss: 4.0634 | Cls: 4.0430 | Loc: 4.0837
  [Batch 30/594] Loss: 4.0481 | Cls: 4.0243 | Loc: 4.0719
  [Batch 40/594] Loss: 3.9917 | Cls: 3.9632 | Loc: 4.0201
  [Batch 50/594] Loss: 3.7506 | Cls: 3.7300 | Loc: 3.7711
  [Batch 60/594] Loss: 3.8922 | Cls: 3.8631 | Loc: 3.9214
  [Batch 70/594] Loss: 4.1346 | Cls: 4.1144 | Loc: 4.1549
  [Batch 80/594] Loss: 4.5661 | Cls: 4.5446 | Loc: 4.5877
  [Batch 90/594] Loss: 4.0667 | Cls: 4.0472 | Loc: 4.0861
  [Batch 100/594] Loss: 3.9071 | Cls: 3.8894 | Loc: 3.9248
  [Batch 110/594] Loss: 4.0295 | Cls: 4.0074 | Loc: 4.0517
  [Batch 120/594] Loss: 4.1943 | Cls: 4.1753 | Loc: 4.2133
  [Batch 130/594] Loss: 3.9563 | Cls: 3.9306 | Loc: 3.9820
  [Batch 140/594] Loss: 4.1285 | Cls: 4.1045 | Loc: 4.1525
  [Batch 150/594] Loss: 3.7309 | Cls: 3.7125 | Loc: 3.7494
  [Batch 160/594] Loss: 4.3241 | Cls: 4.3017 | Loc: 4.3465
  [Batch 170/594] Loss: 4.2679 | Cls: 4.2466 | Loc: 4.2893
  [Batch 180/594] Loss: 4.5481 | Cls: 4.5270 | Loc: 4.5692
  [Batch 190/594] Loss: 4.2610 | Cls: 4.2447 | Loc: 4.2772
  [Batch 200/594] Loss: 3.3505 | Cls: 3.3005 | Loc: 3.4006
  [Batch 210/594] Loss: 3.9618 | Cls: 3.9355 | Loc: 3.9882
  [Batch 220/594] Loss: 3.9329 | Cls: 3.9090 | Loc: 3.9567
  [Batch 230/594] Loss: 3.9599 | Cls: 3.9377 | Loc: 3.9821
  [Batch 240/594] Loss: 4.2467 | Cls: 4.2264 | Loc: 4.2670
  [Batch 250/594] Loss: 4.1778 | Cls: 4.1567 | Loc: 4.1989
  [Batch 260/594] Loss: 4.4759 | Cls: 4.4564 | Loc: 4.4954
  [Batch 270/594] Loss: 4.2352 | Cls: 4.2121 | Loc: 4.2583
  [Batch 280/594] Loss: 4.1454 | Cls: 4.1228 | Loc: 4.1680
